"id","user_id","subscription_id","input_tokens","output_tokens","total_tokens","input_cost_usd","output_cost_usd","total_cost_usd","chat_type","model_used","created_at"
"01f719e8-4d44-4658-96ea-4ed73ee8935f","b067ddd6-5c65-47b0-9862-9b0d0176d962","bcfeb538-5a11-4edf-9699-625eddfcff10","1713","1011","2724","0.00046251","0.00111210","0.00157461","pdf","deepseek-chat","2025-09-08 02:14:35.202406"
"0404c431-2aa3-4b44-816e-9895d96f54fa","9e22c51b-9829-47f7-932c-ed4eb0dd1fd8","dd710c63-6f90-4a29-8aef-1d03bf893e55","1755","610","2365","0.00029465","0.00067100","0.00096565","dashboard","deepseek-chat","2025-09-09 20:52:57.166866"
"098e3f1c-bf78-428b-ae2d-a761eaa74172","6a02a5ca-3348-4f21-9e62-4358ab30e15d","13ef87ee-e618-478d-b93e-7f332148074a","664","254","918","0.00017928","0.00027940","0.00045868","dashboard","deepseek-chat","2025-09-04 11:58:40.695792"
"0b1a860f-f0ae-4c2a-a4d9-5a4d3f256416","6a02a5ca-3348-4f21-9e62-4358ab30e15d","13ef87ee-e618-478d-b93e-7f332148074a","320","487","807","0.00003520","0.00053570","0.00057090","dashboard","deepseek-chat","2025-09-03 11:08:26.382721"
"11275203-b167-4510-a5ab-914e4500c239","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1562","411","1973","0.00037054","0.00045210","0.00082264","dashboard","deepseek-chat","2025-09-08 17:04:15.965227"
"1248b919-316b-4269-84f7-7b9abb427a49","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","319","183","502","0.00003493","0.00020130","0.00023623","dashboard","deepseek-chat","2025-09-08 15:35:38.092989"
"1660ad19-e9b5-4772-ae66-abfe0aea5881","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","813","641","1454","0.00006591","0.00070510","0.00077101","dashboard","deepseek-chat","2025-09-08 16:31:40.460168"
"19175f57-a995-4d47-add1-461f33b3924d","9e22c51b-9829-47f7-932c-ed4eb0dd1fd8","dd710c63-6f90-4a29-8aef-1d03bf893e55","1812","566","2378","0.00045084","0.00062260","0.00107344","pdf","deepseek-chat","2025-09-09 16:50:45.329359"
"1bb5a34e-5aa3-4483-957d-be35c068e4e0","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","813","379","1192","0.00006591","0.00041690","0.00048281","dashboard","deepseek-chat","2025-09-08 15:40:50.572616"
"1e1ce7ad-f586-409a-8576-fc239fe0637b","9e22c51b-9829-47f7-932c-ed4eb0dd1fd8","dd710c63-6f90-4a29-8aef-1d03bf893e55","1888","851","2739","0.00045856","0.00093610","0.00139466","pdf","deepseek-chat","2025-09-09 17:22:36.71935"
"26fece41-678d-462b-957a-723f84ff9406","9e22c51b-9829-47f7-932c-ed4eb0dd1fd8","dd710c63-6f90-4a29-8aef-1d03bf893e55","1807","519","2326","0.00012949","0.00057090","0.00070039","dashboard","deepseek-chat","2025-09-10 04:33:27.991931"
"3334d27c-b1cf-4041-932e-a1d078a7c8fe","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","230","537","767","0.00002370","0.00059070","0.00061440","subject","deepseek-chat","2025-09-08 15:28:57.715219"
"3348003b-89c8-4849-ba40-a6aa5efef9c6","9e22c51b-9829-47f7-932c-ed4eb0dd1fd8","dd710c63-6f90-4a29-8aef-1d03bf893e55","3018","542","3560","0.00076366","0.00059620","0.00135986","dashboard","deepseek-chat","2025-09-09 18:56:41.155561"
"35a93fb7-205d-4345-a9b9-17073fb2c017","6a02a5ca-3348-4f21-9e62-4358ab30e15d","13ef87ee-e618-478d-b93e-7f332148074a","294","95","389","0.00002818","0.00010450","0.00013268","dashboard","deepseek-chat","2025-09-02 23:49:47.826272"
"395569de-2a90-4f93-b17c-01f87d4ee0cd","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","415","366","781","0.00003525","0.00040260","0.00043785","subject","deepseek-chat","2025-09-08 15:29:05.855176"
"399ea5a4-4114-46b8-a44f-5e5bb45d2d15","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1291","530","1821","0.00010537","0.00058300","0.00068837","dashboard","deepseek-chat","2025-09-09 21:26:11.677321"
"3fbbd2f7-8290-498d-8766-8dcb413acab8","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","230","537","767","0.00002370","0.00059070","0.00061440","subject","deepseek-chat","2025-09-08 15:32:08.028992"
"41e5033f-4cf1-42e1-81bc-dc2536ee07bd","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1263","370","1633","0.00009781","0.00040700","0.00050481","dashboard","deepseek-chat","2025-09-09 21:25:13.102198"
"4266cd55-2f7c-444b-aa48-149ac0a9f928","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","651","458","1109","0.00012457","0.00050380","0.00062837","dashboard","deepseek-chat","2025-09-08 17:05:13.316299"
"44146b67-225e-4e99-9a54-24a1fa06bb3f","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1235","332","1567","0.00009025","0.00036520","0.00045545","dashboard","deepseek-chat","2025-09-09 21:29:18.427559"
"47ce5866-f1b4-4205-b2d7-3c87a4fbc12f","9e22c51b-9829-47f7-932c-ed4eb0dd1fd8","dd710c63-6f90-4a29-8aef-1d03bf893e55","2392","431","2823","0.00059464","0.00047410","0.00106874","dashboard","deepseek-chat","2025-09-09 20:46:06.966441"
"4864df30-b12f-4d4d-8513-7c155560d35f","9e22c51b-9829-47f7-932c-ed4eb0dd1fd8","dd710c63-6f90-4a29-8aef-1d03bf893e55","1746","546","2292","0.00042022","0.00060060","0.00102082","pdf","deepseek-chat","2025-09-09 17:24:18.656837"
"52e29bdb-1957-425d-aec3-ec4bdc7ed9fb","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1116","346","1462","0.00025012","0.00038060","0.00063072","dashboard","deepseek-chat","2025-09-09 21:17:58.776778"
"582a7c29-2d69-4393-b0f2-154bf2b8e1a0","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","294","89","383","0.00007938","0.00009790","0.00017728","dashboard","deepseek-chat","2025-09-08 15:34:08.603478"
"5b024710-8bf1-47ce-8a5d-ae641ef82589","6a02a5ca-3348-4f21-9e62-4358ab30e15d","13ef87ee-e618-478d-b93e-7f332148074a","1787","512","2299","0.00044409","0.00056320","0.00100729","subject","deepseek-chat","2025-09-10 18:35:20.70206"
"5b1f3aa6-d337-43c1-9696-db8e91e1eac7","b067ddd6-5c65-47b0-9862-9b0d0176d962","bcfeb538-5a11-4edf-9699-625eddfcff10","297","1075","1372","0.00004179","0.00118250","0.00122429","pdf","deepseek-chat","2025-09-08 18:10:33.030086"
